county,county_code
Aitkin,1
Anoka,2
Becker,3
Beltrami,4
Benton,5
Big Stone,6
Blue Earth,7
Brown,8
Carlton,9
Carver,10
Cass,11
Chippewa,12
Chisago,13
Clay,14
Clearwater,15
Cook,16
Cottonwood,17
Crow Wing,18
Dakota,19
Dodge,20
Douglas,21
Faribault,22
Fillmore,23
Freeborn,24
Goodhue,25
Grant,26
Hennepin,27
Houston,28
Hubbard,29
Isanti,30
Itasca,31
Jackson,32
Kanabec,33
Kandiyohi,34
Kittson,35
Koochiching,36
Lac Qui Parle,37
Lake,38
Lake of the Woods,39
Le Sueur,40
Lincoln,41
Lyon,42
McLeod,43
Mahnomen,44
Marshall,45
Martin,46
Meeker,47
Mille Lacs,48
Morrison,49
Mower,50
Murray,51
Nicollet,52
Nobles,53
Norman,54
Olmsted,55
Otter Tail,56
Pennington,57
Pine,58
Pipestone,59
Polk,60
Pope,61
Ramsey,62
Red Lake,63
Redwood,64
Renville,65
Rice,66
Rock,67
Roseau,68
Saint Louis,69
Scott,70
Sherburne,71
Sibley,72
Stearns,73
Steele,74
Stevens,75
Swift,76
Todd,77
Traverse,78
Wabasha,79
Wadena,80
Waseca,81
Washington,82
Watonwan,83
Wilkin,84
Winona,85
Wright,86
Yellow Medicine,87
